id,ID_user,telegram,referrer_id,name_user,city_university,name_university,faculty,course,ID_message,photo_payment
1,802587774,@yluxw,802587774,М,П,В,О,В,10595,AgACAgIAAxkBAAIpY2cqa8IQAzUC9RSdbNUZIWserNWnAAKa3jEbV8pYSX_CZy_KH4MlAQADAgADeQADNgQ
2,940146122,@Vsekrytovsegdaivezde111222333,802587774,А,А,В,А,В,10620,AgACAgIAAxkBAAIpfGcqbNZc7cYyAXt_L-_mEioGcD7DAALh7DEbd3NQSdYoEQxR_KpOAQADAgADeQADNgQ
3,5098006710,@Danvanmih,802587774,А,А,П,А,П,10830,AgACAgIAAxkBAAIqOWcuOTAvL6-d5gAB1q6tvWxgeKfzRgACU-oxG23UcEl6Ojr-1Bbq2gEAAwIAA3kAAzYE
